scenario,cost_att1,cost_att3
744,133329.04224055476,133329.04224055476
745,131425.44841510532,131425.44841510532
746,133329.04224055476,133329.04224055476
747,134448.7128259624,133384.75790075288
748,137187.49204953172,137187.49204953172
749,137064.38480345844,137064.38480345844
750,138888.93106613276,138888.93106613276
751,136796.62858206668,136796.62858206668
752,137004.84802609167,137004.84802609167
753,144339.03028252904,138414.31580688324
754,140924.85384180158,140924.85384180158
755,187965.97251,140162.81224689688
756,184197.56001,178242.942524
757,146995.35850165613,146995.35850165613
758,145530.90909601774,145530.90909601774
759,145584.76303715093,145200.56201243453
760,144689.4108317172,143310.92708328168
761,184146.76408,147300.491931455
762,146442.65659247694,146442.65659247694
763,187965.97251,146442.65659247694
764,146442.65659247694,146442.65659247694
765,187721.716316,146559.83857379344
766,143754.98110106096,143754.98110106096
767,187965.97251,146474.1925161941
768,187965.97251,145424.0961354242
769,187965.97251,187165.92070999998
770,143754.98110106096,143754.98110106096
771,142223.54374909916,142223.54374909916
772,141973.02950977097,141973.02950977097
773,143975.90799759477,143743.6565127043
774,137817.97694944698,137817.97694944698
775,140410.64136745717,140410.64136745717
776,137634.87395013476,137634.87395013476
777,139499.42084551475,129811.8886155
778,137771.1294551901,137771.1294551901
779,137771.1294551901,137771.1294551901
780,138738.25986475445,138509.217736
781,137771.1294551901,137771.1294551901
782,183396.895938,182775.00136
783,132973.25142738022,132973.25142738022
784,133828.05737853408,133828.05737853408
785,133828.05737853408,133828.05737853408
786,135808.92910449972,135808.92910449972
787,136002.82210746614,136002.82210746614
788,136128.55130448262,136128.55130448262
789,187965.97251,143425.133166
790,183106.805562,136202.08002031714
791,187965.97251,165687.485094
792,130311.15440326527,130311.15440326527
793,135450.83759018863,135450.83759018863
794,133435.38102147044,133435.38102147044
795,135450.83759018863,135450.83759018863
796,133800.526150537,133800.526150537
